CellType,Symbol,AffymetrixID,UGCIuster         I,EntrezGene Name,
Tgd,TARP,211144 x at,Hs.534032,445347 TCR gamma alternate reading frame protein,
Tgd,C1orf61,205103.aΓ,Hs.380027,10485 chromosome 1 open reading frame 61,
Tgd,TRGV9,209813 x at,Hs.534032,6983 T cell receptor gamma variable 9,
Tgd,CD160,207840.at,Hs.488237,11126 CD160 molecule,
Tgd,TARP,216920.s.at,Hs.534032,445347 TCR gamma alternate reading frame protein,
Tgd,FEZ1,203562.a?,Hs.224008,9638 fasciculation and elongation protein zeta 1 (zygin 1),
Cytotoxic cells,KLRD1,210606 x at,Hs.562457,"3824 killer cell Iectin-Iike receptor subfamily D, member 1",
Cytotoxic cells,KLRF1,220646.s.at,Hs. 183125,"51348 killer cell Iectin-Iike receptor subfamily F, member 1",
Cytotoxic cells,GNLY,37145.at,Hs. 105806,10578 gran u Iysin,
Cytotoxic cells,GNLY,205495 s at,Hs. 105806,10578 gran u Iysin,
Cytotoxic cells,CTSW,214450.aΓ,Hs.416848,1521 cathepsin W,
Cytotoxic cells,KLRB1,214470.at,Hs. 169824,"3820 killer cell Iectin-Iike receptor subfamily B, member 1",
Cytotoxic cells,KLRD1,207795 s at,Hs.562457,"3824 killer cell Iectin-Iike receptor subfamily D, member 1",
Cytotoxic cells,KLRK1,205821.as,Hs.387787,"22914 killer cell Iectin-Iike receptor subfamily K, member 1",
Cytotoxic cells,NKG7,213915.at,Hs. 10306,4818 natural killer cell group 7 sequence,
Cytotoxic cells,GZMH,210321 .at,Hs.348264,"2999 granzyme H (cathepsin G-Iike 2, protein h-CCPX)",
Cytotoxic cells,KLRD1,207796 x at,Hs.562457,"3824 killer cell Iectin-Iike receptor subfamily D, member 1",
Cytotoxic cells,SIGIRR,218921.as,Hs.501624,59307 single immunoglobulin and toll-interleukin 1 receptor (TIR) domain,
Cytotoxic cells,ZBTB16,205883.at,"Hs.591945, Hs.68214",7704 zine finger and BTB domain containing 16,
Cytotoxic cells,RUNX3,204198.s.at,Hs.170019,864 runt-related transcription factor 3,
Cytotoxic cells,APOL3,221087 s at,Hs.474737,"80833 apolipoprotein L, 3",
Cytotoxic cells,RORA,210426 x at,Hs.654353,6095 RAR-related orphan receptor A,
Cytotoxic cells,APBA2,209870 s at,Hs.618112,"321 amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)",
Cytotoxic cells,SIGIRR,52940_at,Hs.501624,59307 single immunoglobulin and toll-interleukin 1 receptor (TIR) domain,
Cytotoxic cells,WHDC1L1,213908.at,"Hs.212670, Hs.65530",339005 V∖ΛS protein homology region 2 domain containing I-Iike 1,
Cytotoxic cells,DUSP2,204794.at,Hs.1183,1844 dual specifcity phosphatase 2,
Cytotoxic cells,GZMA,205488.at,Hs.90708,"3001 granzyme A (granzyme 1, cytotoxic T-Iymphocyte-associated serine esterase 3)",
NK cells,LOC643313,211050.x.at,Hs.676949,643313 similar to hypothetical protein LOC284701,
NK cells,GAGE2,207739 s at,Hs.658117,2574 G antigen 2,
NK cells,ZNF747,206180.x.at,Hs.592032,65988 zinc finger protein 747,
NK cells,XCL1,206366 x at,Hs.546295,6375 chemokine (C motif) ligand 1,
NK cells,XCL2,214567.s.at,Hs.458346,6846 chemokine (C motif) ligand 2,
NK cells,AF107846,217058.as,Hs. 125898,2778 GNAS complex locus,
NK cells,SLC30A5,220181.x.at,Hs.631975,"64924 solute carrier family 30 (zinc transporter), member 5",
NK cells,NM_014114,220691 .at^,Hs.654698,259230 sphingomyelin synthase 1,
NK cells,MCM3AP,215582.x.at,Hs.389037,8888 minichromosome maintenance complex component 3 associated protein,
NK cells,TBXA2R,207555 s at,Hs.442530,6915 thromboxane A2 receptor,
NK cells,CDC5L,209057 x at,Hs.485471,988 CDC5 cell division cycle 5-like (S. pombe),
NK cells,LOC730096,215182 x at,Hs.572908,730096 hypothetical protein LOC730096,
NK cells,FUT5,211225.at,Hs.631843,"2527 Iucosyltransferase 5 (alpha (1,3) fuCosyltransferase)",
NK cells,FGF18,206986.at,Hs.87191,8817 Iibroblast growth factor 18,
NK cells,MRC2,209280.at,Hs.7835,"9902 mannose receptor, C type 2",
NK cells,RP5-886K2.1,208014.x.at,,27308 neuronal thread protein AD7c-NTP,
NK cells,SPN,216981 x at,Hs.632188,"6693 Sialophorin (Ieukosialin, CD43)",
NK cells,PSMD4,210459.at^,Hs.505059,"5710 proteasome (prosome, macropain) 268 subunit, non-ATPase, 4",
NK cells,PRX,220024 s at,Hs.205457,57716 periaxin,
NK cells,FZR1,209415.as,Hs.413133,51343 fizzy/cell division cycle 20 related 1 (DrosophiIa),
NK cells,ZNF205,206416_at,Hs.592088,7755 zinc finger protein 205,
NK cells,AL080130,212972 x at,,323,
NK cells,ZNF528,215019_x_at,Hs.662043,84436 zinc finger protein 528,
NK cells,MAPRE3,203842 s at,Hs.515860,"22924 miorotubu!e-associated protein, RP/EB femily, member 3",
NK cells,BCL2,207004-aΓ,Hs. 150749,596 B-cell CLLZIymphoma 2,
NK cells,NM_017616,221068-at,Hs.284208,25959 ankyrin repeat domain 25,
NK cells,ARL6IP2,217580 x at,Hs. 190440,64225 ADP-ribosyIation Iactor-Iike 6 interacting protein 2,
NK cells,SPN,206057 x at,Hs.632188,"6693 Sialophorin (Ieukosialin, CD43)",
NK cells,FZR1,211865_s_at,Hs.413133,51343 fizzy/cell division cycle 20 related 1 (DrosophiIa),
NK cells,PDLIM4,214174 s at,Hs.424312,8572 PDZ and LIM domain 4,
NK cells,NM_014274,206827_s_at,"Hs.302740, Hs.63896","55503 transient receptor potential cation channel, subfamily V, member 6",
NK cells,LDB3,216888-aΓ,Hs.657271,11155 LIM domain binding 3,
NK cells,ADARB1,209979_at,Hs.474018,"104 adenosine deaminase, RNA-specific, Bl (RED1 homolog rat)",
NK cells,SMEK1,215607 x at,Hs.533887,"55671 SMEK homolog 1, suppressor of mek1 (DictyosteIium)",
NK cells,TCTN2,206438_x_at,Hs. 167165,79867 tectonic family member 2,
NK cells,TINAGL1,219058_x_at,Hs. 199368,64129 tubulointerstitial nephritis antigen-like 1,
NK cells,IGFBP5,203426_s_at,Hs.635441,3488 insulin-like growth factor binding protein 5,
NK cells,ALDH1B1,209646 x at,Hs.436219,"219 aldehyde dehydrogenase 1 family, member 81",
NK cells,NCR1,217095 x at,Hs.97084,9437 natural cytotoxicity triggering receptor 1,
NK cells,NCR1,217088 s at,Hs.97084,9437 natural cytotoxicity triggering receptor 1,
NK cells,NCR1,207860-aΓ,Hs.97084,9437 natural cytotoxicity triggering receptor 1,
NK CD56dim cells,KIR3DL2,207314_x_at,"Hs.645228, Hs.64553","3812 killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2",
NK CD56dim cells,KIR3DL2,216907_x_at,"Hs.645228, Hs.64553","3812 killer cell immunoglobulin-like receptor, three domains, long Cytoplasmictail, 2",
NK CD56dim cells,SPON2,218638 s at,Hs.302963,"10417 spondin 2, extracellular matrix protein",
NK CD56dim cells,KIR2DL3,208179 x at,"Hs.654605, Hs.65460","3804 killer cell immunoglobulin-like receptor, two domains, long Cytoplasmictail, 3",
NK CD56dim cells,GZMB,210164-aΓ,Hs. 1051,"3002 granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)",
NK CD56dim cells,KIR3DS1,211389_x_at,"Hs.659860, Hs.66110","3813 killer cell immunoglobulin-like receptor, three domains, short Cytoplasmictail, 1",
NK CD56dim cells,KIR3DL1,211687 x at,Hs.645228,"3811 killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1",
NK CD56dim cells,FLJ20699,216434-aΓ,Hs.435832,55020 hypothetical protein F LJ20699,
NK CD56dim cells,TMEPAI,217875 s at,Hs.517155,"56937 transmembrane, prostate androgen induced RNA",
NK CD56dim cells,KIR3DL2,211688_x_at,"Hs.645228, Hs.64553","3812 killer cell immunoglobulin-like receptor, three domains, long Cytoplasmictail, 2",
NK CD56dim cells,IL21R,221658 s at,Hs.210546,50615 interleukin 21 receptor,
NK CD56dim cells,KIR3DL2,207313_x_at,"Hs.645228, Hs.64553","3812 killer cell immunoglobulin-like receptor, three domains, long Cytoplasmictail, 2",
NK CD56dim cells,KIR3DL3,216676 x at,Hs.645224,"115653 killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3",
NK CD56dim cells,KIR2DS5,208203_x_at,Hs.659860,"3810 killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5",
NK CD56dim cells,KIR2DS2,211532 x at,"Hs.512572, Hs.65460","3807 killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2",
NK CD56dim cells,GTF3C1,202320-aΓ,Hs.371718,"2975 general transcription factor IIIC, polypeptide 1, alpha 220kDa",
NK CD56dim cells,KIR2DS1,216552 x at,Hs.661101,"3806 killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1",
NK CD56dim cells,EDG8,221417_x_at,Hs.501561,"53637 endothelial differentiation, sphingolipid G-protein-coupled receptor, 8",
NK CD56bright cells,DUSP4,204014_a?,Hs.417962,1846 dual specificity phosphatase 4,
NK CD56bright cells,RRAD,204803_s_at,Hs. 1027,6236 Ras-related associated with diabetes,
NK CD56bright cells,XCL1,206365-aΓ,Hs.546295,6375 Chemokine (C motif) ligand 1,
NK CD56bright cells,PLA2G6,215938_s_at,Hs. 170479,"8398 phospholipase A2, group Vl (cytosolic, calcium-independent)",
NK CD56bright cells,PLA2G6,204691 x at,Hs. 170479,"8398 phospholipase A2, group Vl (cytosolic, calcium-independent)",
NK CD56bright cells,NIBP,221672_s_at,Hs.654911,83696 NIK and IKK{beta} binding protein,
NK CD56bright cells,FOXJ1,205906-at,Hs.651204,2302 forkhead box Jl,
NK CD56bright cells,03/06/09 21S908.at,,Hs.432862,10299 mem bran e-associ ated ring finger (C3HC4) 6,
NK CD56bright cells,DUSP4,204015_s_at,Hs.417962,1846 dual specificity phosphatase 4,
NK CD56bright cells,PLA2G6,"210647,x.at",Hs. 170479,"8398 phospholipase A2, group Vl (cytosolic, calcium-independent)",
NK CD56bright cells,MADD,38398.at,Hs.82548,8567 MAP-kinase activating death domain,
NK CD56bright cells,BG255923,215409 at,Hs.352614,"254531 1-acylgIycerol-3-phosphate O-acyltransferase 7 (Iysophosphatidic acid acyltransferase, eta)",
NK CD56bright cells,MPPED1,206436-at,Hs.592198,758 Metallophosphoesterase domain containing 1,
NK CD56bright cells,MUC3B,214676_x_at,Hs.489354,"57876 mucin 3B, cell surface associated",
DC,CD209,207277-aΓ,Hs.278694,30835 CD209 molecule,
DC,CCL17,207900-at,Hs.546294,6361 Chemokine (C-C motif) ligand 17,
DC,HSD11B1,205404-at,Hs. 195040,3290 hydroxysteroid (11-beta) dehydrogenase 1,
DC,CCL13,206407 s at,Hs.414629,6357 Chemokine (C-C motif) ligand 13,
DC,CCL22,207861_aF,Hs.534347,6367 Chemokine (C-C motif) ligand 22,
DC,PPFIBP2,212841_s_at,Hs.655714,"8495 PTPRF interacting protein, binding protein 2 (Iiprin beta 2)",
DC,NPR1,32625-at,Hs.490330,4881 natriuretic peptide receptor AZguanyIate cyclase A (atriOnatriuretic peptide receptor A),
iDC,CD1B,206749-at,Hs.1310,910 CD1b molecule,
iDC,VASH1,203940_s_at,Hs.525479,22846 Vasohibin 1,
iDC,F13A1,203305-aΓ,Hs.335513,"2162 coagulation factor XIII, A1 polypeptide",
iDC,CD1E,215784.at,Hs.249217,913 CD1e molecule,
iDC,MMP12,204580-at,Hs. 1695,4321 matrix metalIopeptidase 12 (macrophage elastase),
iDC,FABP4,203980-at,Hs.391561,"2167 fatty acid binding protein 4, adipocyte",
iDC,CLEC10A,206682_at,Hs.54403,"10462 C-type lectin domain family 10, member A",
iDC,SYT17,205613_at,Hs.258326,51760 Synaptotagmin XVII,
iDC,MS4A6A,219666_at,Hs.523702,"64231 membrane-spanning 4-domains, subfamily A, member 6A",
iDC,CTNS,204925-at,Hs. 187667,"1497 cystinosis, nephropathic",
iDC,GUCA1A,206062-at,Hs.92858,2978 guanylate cyclase activator IA (retina),
iDC,CARD9,220162 s at,Hs.694071,"64170 caspase recruitment domain family, member 9",
iDC,CD1E,208592_s_at,Hs.249217,913 CD1e molecule,
iDC,ABCG2,209735-at,Hs.480218,"9429 ATP-binding cassette, sub-family G (WHITE), member 2",
iDC,CD1A,210325_at,Hs. 1309,909 CD1a molecule,
iDC,PPARG,208510 s at,Hs. 162646,5468 peroxisome proliferator-activated receptor gamma,
iDC,RAP1GAP,203911.as,Hs. 148178,5909 RAP1 GTPase activating protein,
iDC,SLC7A8,216604_s_at,Hs.632348,"23428 solute carrier family 7 (cationic amino acid transporter, y+ system), member 8",
iDC,GSTT1,203815_af,"Hs.268573, Hs.56802",2952 glutathione S-transferase theta 1,
iDC,NM_021941,218019 s at,Hs.284491,"8566 pyridoxal (pyridoxine, vitamin B6) kinase",
iDC,FZD2,210220.at,Hs.142912,2535 frizzled homolog 2 (DrosophiIa),
iDC,CSF1R,203104.at,Hs.654394,"1436 colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog",
iDC,HS3ST2,219697_at,"Hs. 115830, Hs.62253",9956 heparan sulfate (glucosamine) 3-O-suIfotransferase 2,
iDC,CH25H,206932-at,Hs.47357,9023 cholesterol 25-hydroxylase,
iDC,LMAN2L,221274_s_at,Hs.655743,"81562 lectin, mannose-binding 2-like",
iDC,SLC26A6,221572 s at,"Hs.631925, Hs.66320","65010 solute carrier family 26, member 6",
iDC,BLVRB,202201.as,Hs.515785,645 biliverdin reductase B (flavin reductase (NADPH)),
iDC,NUDT9,218375.at,Hs. 149500,53343 nudix (nucleoside diphosphate linked moiety X)-type motif 9,
iDC,PREP,204117.at,Hs.436564,5550 prolyl endopeptidase,
iDC,TM7SF4,221266 s at,Hs.652230,81501 transmembrane 7 superfamily member 4,
iDC,TACSTD2,202286.s.at,Hs.23582,4070 tumor-associated calcium signal transducer 2,
iDC,CD1C ,205987.as,Hs. 132448,911 CD1c molecule,
aDC,CCL1,207533.at,Hs.72918,6346 Chemokine (C-C motif) ligand 1,
aDC,EBI3,219424.at,Hs.501452,10148 Epstein-Barrvirus induced gene 3,
aDC,INDO,210029.at,Hs.840,"3620 indoleamine-pyrrole 2,3 dioxygenase",
aDC,LAMP3,205569.at,Hs.518448,27074 Iysosomal-associated membrane protein 3,
aDC,OAS3,218400.at,Hs.528634,"4940 2,-5,-oligoadenylate synthetase 3, I OOkVa",
pDC,IL3RA,206148.at,Hs.632790,"3563 interleukin 3 receptor, alpha (low affinity)",
Eosinophils,IL5RA,211517.s.at,Hs.68876,"3568 interleukin 5 receptor, alpha",
Eosinophils,KCNH2,205262.at^,Hs.647099,"3757 potassium voltage-gated channel, subfamily H (eag-related), member 2",
Eosinophils,TKTL1,216370 s at,Hs. 102866,8277 transketolase-like 1,
Eosinophils,IL5RA,210744.s.at,Hs.68876,"3568 interleukin 5 receptor, alpha",
Eosinophils,EMR1,207111.as,Hs.2375,"2015 egf-like module containing, mucin-like, hormone receptor-like 1",
Eosinophils,KCNH2,210036 s at,Hs.647099,"3757 potassium voltage-gated channel, subfamily H (eag-related), member 2",
Eosinophils,CCR3,208304.at^,Hs.506190,1232 Chemokine (C-C motif) receptor 3,
Eosinophils,ACACB,49452.at,Hs.234898,32 acetyl-Coenzyme A carboxylase beta,
Eosinophils,THBS1,201108 s at,Hs. 164226,7057 thrombospondin 1,
Eosinophils,GALC,211810 s at,Hs.513439,2581 galactosylceramidase,
Eosinophils,TKTL1,214183.s.at,Hs. 102866,8277 transketolase-like 1,
Eosinophils,RNU2,210230.as,Hs.676605,728965 hypothetical protein LOC728965,
Eosinophils,CLC,206207.at,Hs.889,1178 Charcot-Leyden crystal protein,
Eosinophils,THBS1,201109.s.at,Hs. 164226,7057 thrombospondin 1,
Eosinophils,HIST1H1C,209398.at^,Hs.7644,"3006 histone cluster 1, Hlc",
Eosinophils,CYSLTR2,220813.at,"Hs.253706, Hs.61431",57105 cysteinyl leukotriene receptor 2,
Eosinophils,HRH4,221170.at,Hs.287388,59340 histamine receptor H4,
Eosinophils,RNASE2,206111.at,Hs.728,"6036 ribonuclease, RNase A family, 2 (liver, eosi n op hi !-derived neurotoxin)",
Eosinophils,CAT,211922.s.at,Hs.502302,847 catalase,
Eosinophils,LRP5L,214873.at,Hs.634058,91355 low density lipoprotein receptor-related protein 5-like,
Eosinophils,SYNJ1,207594_s_at,Hs.473632,8867 Synaptojanin 1,
Eosinophils,SYNJ1,212990-aΓ,Hs.473632,8867 Synaptojanin 1,
Eosinophils,THBS4,204776-at,Hs.211426,7060 thrombospondin 4,
Eosinophils,GPR44,"206361,at",Hs.299567,11251 G protein-coupled receptor 44,
Eosinophils,KBTBD11,204301.at,Hs.5333,9920 Kelch repeat and BTB (POZ) domain containing 11,
Eosinophils,HES1,203394 s at,Hs.250666,"3280 hairy and enhancer of split 1, (DrosophiIa)",
Eosinophils,ABHD2,205566-aΓ,"Hs. 122337, Hs.66646",11057 abhydrolase domain containing 2,
Eosinophils,TIPARP,212665-at,"Hs.12813, Hs.547611",25976 TCDD-inducible poly(ADP-ribose) polymerase,
Eosinophils,SMPD3,219695-at,Hs.368421,"55512 sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)",
Eosinophils,MYO15B,59375-at,Hs.390817,80022 myosin XVB pseudogene,
Eosinophils,TGIF1,203313 s at,Hs.373550,7050 TGFB-induced factor homeobox 1,
Eosinophils,RRP12,216360 x at,Hs.434251,23223 ribosomal RNA processing 12 homolog (S. cerevisiae),
Eosinophils,ACACB,43427-at,Hs.234898,32 acetyl-Coenzyme A carboxylase beta,
Eosinophils,IGSF2,207167-at,Hs.654598,"9398 immunoglobulin superfamily, member 2",
Eosinophils,HES1,203395_s_at,Hs.250666,"3280 hairy and enhancer of split 1, (DrosophiIa)",
Eosinophils,RCOR3,218344 s at,Hs.356399,55758 REST corepressor 3,
Eosinophils,EPN2,203463_s_at,Hs.655086,22905 ep sin 2,
Eosinophils,C9orf156,222195 s at,Hs.9196,51531 chromosome 9 open reading frame 156,
Eosinophils,SIAH1,202981 x at,Hs.295923,6477 seven in absentia homolog 1 (DrosophiIa),
Eosinophils,ACACB,221928-aΓ,Hs.234898,32 acetyl-Coenzyme A carboxylase beta,
Macrophages,MARCO,205819_at,Hs.67726,8685 macrophage receptor with collagenous structure,
Macrophages,CXCL5,214974 x at,Hs.89714,6374 Chemokine (C-X-C motif) ligand 5,
Macrophages,SCG5,203889-at,Hs. 156540,6447 Secretogranin V (7B2 protein),
Macrophages,SULT1C2,205342 s at,Hs.436123,"6819 sulfotransferase family, cytosolic, 1C, member 2",
Macrophages,SULT1C2,211470 s at,Hs.436123,"6819 sulfotransferase family, cytosolic, 1C, member 2",
Macrophages,MSR1,214770-aΓ,Hs. 147635,4481 macrophage scavenger receptor 1,
Macrophages,CTSK,202450 s at,Hs.632466,1513 cathepsin K,
Macrophages,PTGDS,212187 x at,Hs.446429,5730 prostaglandin D2 synthase 21kDa (brain),
Macrophages,COLEC12,221019_s_at,Hs.464422,81035 collectin sub-family member 12,
Macrophages,GPC4,204984-aΓ,Hs.58367,2239 glypican 4,
Macrophages,MSR1,208423_s_at,Hs. 147635,4481 macrophage scavenger receptor 1,
Macrophages,PCOLCE2,219295 s at,Hs.8944,26577 procollagen C-endOpeptidase enhancer 2,
Macrophages,CHIT1,208168 s at,Hs.201688,1118 chitinase 1 (Chitotriosidase),
Macrophages,PTGDS,211748_x_at,Hs.446429,5730 prostaglandin D2 synthase 21kDa (brain),
Macrophages,KAL1,205206-aΓ,Hs.521869,3730 Kallmann syndrome 1 sequence,
Macrophages,CLEC5A,219890-at,Hs.446235,"23601 C-type lectin domain family 5, member A",
Macrophages,GPC4,204983 s at,Hs.58367,2239 glypican 4,
Macrophages,ME1,204058-aΓ,Hs.21160,"4199 malic enzyme 1, NADP(+)-dependent, cytosolic",
Macrophages,DNASE2B,220380-at,Hs. 129142,58511 deoxyribonuclease Il beta,
Macrophages,CCL7,208075 s at,Hs.251526,6354 chemokine (C-C motif) ligand 7,
Macrophages,FN1,214701_s_at,Hs.203717,2335 fibronectin 1,
Macrophages,CD163,203645_s_at,Hs.504641,9332 CD163 molecule,
Macrophages,GM2A,215891 s at,Hs.483873,2760 GM2 ganglioside activator,
Macrophages,SCARB2,201647 s at,Hs.349656,"950 scavenger receptor class B, member 2",
Macrophages,BCAT1,214452-aΓ,Hs.438993,"586 branched chain aminotransferase 1, cytosolic",
Macrophages,BCAT1,214390 s at,Hs.438993,"586 branched chain aminotransferase 1, cytosolic",
Macrophages,RAI14,202052 s at,Hs.431400,26064 retinoic acid induced 14,
Macrophages,MSR1,211887 x at,Hs. 147635,4481 macrophage scavenger receptor 1,
Macrophages,COL8A2,52651.at,Hs.353001,"1296 collagen, type VIII, alpha 2",
Macrophages,CD163,215049 x at,Hs.504641,9332 CD163 molecule,
Macrophages,APOE,203381.s.at,Hs.654439,348 apolipoprotein E,
Macrophages,CHI3L1,209396 s at,Hs.382202,1116 chitinase 3-like 1 (cartilage glycoprotein-39),
Macrophages,ATG7,218673.s.at,Hs.38032,10533 ATG7 autophagy related 7 homolog (S. cerevisiae),
Macrophages,CD84,211190 x at,Hs.398093,8832 CD84 molecule,
Macrophages,FDX1,203646.aΓ,Hs.744,2230 ferredoxin 1,
Macrophages,MS4A4A,219607 s at,Hs.325960,"51338 membrane-spanning 4-domains, subfamily A, member 4",
Macrophages,SGMS1,212989.at,Hs.654698,259230 sphingomyelin synthase 1,
Macrophages,EMP1,201324.at,Hs.436298,2012 epithelial membrane protein 1,
Macrophages,CYBB,203922.s.at,Hs.292356,"1536 cytochrome b-245, beta polypeptide (chronic granulomatous disease)",
Macrophages,CD68,203507.aΓ,Hs.647419,968 CD68 molecule,
Mast cells,PRG2,211743 s at,Hs.512633,"5553 proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)",
Mast cells,CTSG,205653.aΓ,Hs.421724,1511 cathepsin G,
Mast cells,TPSAB1,215382 x at,Hs.405479,7177 tryptase alpha/beta 1,
Mast cells,SLC18A2,205857.aΓ,Hs.654476,"6571 solute carrier family 18 (vesicular monoamine), member 2",
Mast cells,TPSAB1,205683.x.at,Hs.405479,7177 tryptase alpha/beta 1,
Mast cells,MS4A2,207497 s at,Hs.386748,"2206 membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)",
Mast cells,CPA3,205624.at,Hs.646,1359 carboxypeptidase A3 (mast cell),
Mast cells,TPSB2,207134 x at,"Hs.405479, Hs.59298",64499 tryptase beta 2,
Mast cells,TPSAB1,216474 x at,Hs.405479,7177 tryptase alpha/beta 1,
Mast cells,NM-003293,207741 x at,"Hs.405479, Hs.59298",64499 tryptase beta 2,
Mast cells,TPSAB1,210084.x.at,Hs.405479,7177 tryptase alpha/beta 1,
Mast cells,MS4A2,207496.aΓ,Hs.386748,"2206 membrane-spanning 4-domains, subfamily A, member 2 (Fcfragment of IgE, high affinity I, receptor for; beta polypeptide)",
Mast cells,TPSAB1,217023 x at,Hs.405479,7177 tryptase alpha/beta 1,
Mast cells,GATA2,20971O.aΓ,Hs.367725,2624 GATA binding protein 2,
Mast cells,HDC,207067 s at,Hs. 1481,3067 histidine decarboxylase,
Mast cells,L0H11CR2A,210102.aΓ,Hs. 152944,"4013 loss of heterozygosity, 11, chromosomal region 2, gene A",
Mast cells,SIGLEC6,210796 x at,Hs.397255,946 sialic acid binding Ig-Iike lectin 6,
Mast cells,ELA2,206871.as,Hs.99863,"1991 elastase 2, neutrophil",
Mast cells,LOH11CR2A,205011.at,Hs. 152944,"4013 loss of heterozygosity, 11, chromosomal region 2, gene A",
Mast cells,CMA1,214533.at,Hs. 135626,"1215 chymase 1, mast cell",
Mast cells,SIGLEC6,206520 x at,Hs.397255,946 sialic acid binding Ig-Iike lectin 6,
Mast cells,PGDS,206726.aΓ,Hs. 128433,"27306 prostaglandin D2 synthase, hematopoietic",
Mast cells,MLPH,218211.s.at,Hs. 102406,79083 melanophilin,
Mast cells,ADCYAP1,206281.as,Hs.592343,116 adenylate cyclase activating polypeptide 1 (pituitary),
Mast cells,SIGLEC6,206519.x.at,Hs.397255,946 sialic acid binding Ig-Iike lectin 6,
Mast cells,SLC24A3,57588.at,Hs.654790,"57419 solute carrier family 24 (sod iu m/p otassiu m/cal ci urn exchanger), member 3",
Mast cells,CALB2,205428 s at,Hs. 106857,"794 calbindin 2, 29kDa (calretinin)",
Mast cells,SLC24A3,219090.as,Hs.654790,"57419 solute carrier family 24 (sodium/potassium/calcium exchanger), member 3",
Mast cells,KIT,205051.s.at,Hs.479754,3815 v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,
Mast cells,TAL1,206283.s.at,Hs.525198,6886 T-cell acute lymphocytic leukemia 1,
Mast cells,ABCC4,203196.at^,Hs.508423,"10257 ATP-binding cassette, sub-family C (CFTR/MRP), member 4",
Mast cells,PPM1H,212686.at,Hs.435479,57460 protein phosphatase IH (PP2C domain containing),
Mast cells,MAOB,204041.at,Hs.654473,4129 monoamine oxidase B,
Mast cells,HPGD,211549 s at,Hs.655491,3248 hydroxyprostaglandin dehydrogenase IS-(NAD),
Mast cells,SCG2,204035.at,Hs.516726,7857 Secretogranin Il (Chromogranin C),
Mast cells,PTGS1,205127.at,Hs.201978,5742 prostag !an din-end op eroxi d e synthase 1 (prostaglandin G/H synthase and cyclooxygenase),
Mast cells,CEACAM8,206676.at,Hs.41,1088 Carcinoembryonic antigen-related cell adhesion molecule 8,
Mast cells,MPO,203949.at,Hs.458272,4353 myeloperoxidase,
Mast cells,NR0B1,206645 s at,Hs.268490,"190 nuclear receptor subfamily 0, group B, member 1",
Mast cells,LOC339524,215039.as,"Hs.306423, Hs.61529",339524 hypothetical protein LOC339524,
Neutrophils,CSF3R,203591.s.at,Hs.524517,1441 colony stimulating factor 3 receptor (granulocyte),
Neutrophils,CYP4F3,206515.at^,Hs. 106242,"4051 cytochrome P450, family 4, subfamily F, polypeptide 3",
Neutrophils,VNN3,220528.at,Hs. 183656,55350 vanin 3,
Neutrophils,FPRL1,210773 s at,Hs.99855,2358 formyl peptide receptor-like 1,
Neutrophils,KCNJ15,216782.as,Hs.411299,"3772 potassium inwardly-rectifying channel, subfamily J, member 15",
Neutrophils,MME,203434 s at,Hs.307734,4311 membrane metalIo-endOpeptidase,
Neutrophils,IL8RA,207094.as,Hs. 194778,"3577 interleukin 8 receptor, alpha",
Neutrophils,IL8RB,207008.at,Hs.846,"3579 interleukin 8 receptor, beta",
Neutrophils,MME,203435.s.at,Hs.307734,4311 membrane metal I o-end Opeptidase,
Neutrophils,FCGR3B,204007.at^,Hs.372679,"2215 Fc fragment of IgG, low affinity Illb, receptor (CD16b)",
Neutrophils,DYSF,218660.at,Hs.252180,"8291 dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)",
Neutrophils,KCNJ15,211806 s at,Hs.411299,"3772 potassium inwardly-rectifying channel, subfamily J, member 15",
Neutrophils,FCAR,211816 x at,Hs.659872,"2204 Fc fragment of IgA, receptor for",
Neutrophils,FCAR,211307 s at,Hs.659872,"2204 Fc fragment of IgA, receptor for",
Neutrophils,CEACAM3,210789.x.at,Hs. 11,1084 Carcinoembryonic antigen-related cell adhesion molecule 3,
Neutrophils,FPRL1,210772.at^,Hs.99855,2358 formyl peptide receptor-like 1,
Neutrophils,HIST1H2BC,214455,",at",Hs.658713,"8347 histone cluster 1, H2bc"
Neutrophils,HPSE,219403,s at,Hs.44227,10855 heparan ase
Neutrophils,FLJ11151,218610,_s_at,"Hs.460002, Hs.56044",55313 hypothetical protein FLJ11151
